FORMAT 1
KERNEL S
SOURCE (s|S|s)
SHELLS 5 6

# E <id> <alpha> <beta> <mu> <p>
T 3  -45 44 10  181
T 4  -9 4199 14586  141
T 4  -9 4199 165  183
T 4  -29 2431 143  143
T 4  367 4862 2  185
T 4  -105 46189 4290  145
T 4  -45 3553 70  186
T 4  -1 51 6  187
T 4  7 429 15  188
T 4  9 286 10  189
T 5  -2835 64 10  190
ROW -3 5 18
T 0  315 16 33  149
T 1  -5 4 231  150
T 1  -35 2 33  151
T 2  -30 143 2310  152
T 2  15 26 231  153
T 2  105 22 33  154
T 3  21 442 221  155
T 3  -231 442 2  156
T 3  120 2431 2310  157
T 3  -1 13 231  158
T 3  -70 143 33  159
T 4  -9 4199 12597  160
T 4  -9 4199 39  161
T 4  -1 221 221  162
T 4  11 221 2  163
T 4  -120 46189 2310  164
T 4  2 663 231  165
T 4  7 429 33  166
ROW -3 6 18
T 0  -315 32 66  128
T 1  -5 2 462  129
T 1  35 4 66  130
T 2  -225 572 385  132
T 2  15 13 462  133
T 2  -105 44 66  134
T 3  -21 442 1326  176
T 3  -21 221 14  136
T 3  225 2431 385  138
T 3  -2 13 462  139
T 3  35 143 66  140
T 4  -3 4199 62985  182
T 4  -3 8398 182  142
T 4  1 221 1326  184
T 4  2 221 14  144
T 4  -225 46189 385  146
T 4  4 663 462  147
T 4  -7 858 66  148
ROW -2 -6 13
T 1  -15 4 154  86
T 2  -75 104 210  87
T 2  45 26 154  89
T 3  -21 442 182  90
T 3  21 221 442  54
T 3  75 442 210  92
T 3  -3 13 154  94
T 4  -3 8398 910  95
T 4  3 4199 25194  59
T 4  1 221 182  97
T 4  -2 221 442  61
T 4  -75 8398 210  99
T 4  2 221 154  101
ROW -2 -5 21
T 0  315 16 33  65
T 1  5 4 231  66
T 1  -35 2 33  67
T 2  -375 1144 770  68
T 2  -105 104 130  69
T 2  -15 26 231  70
T 2  105 22 33  71
T 3  -189 442 7  72
T 3  21 221 39  73
T 3  375 4862 770  74
T 3  105 442 130  75
T 3  1 13 231  76
T 3  -70 143 33  77
T 4  -12 4199 91  78
T 4  36 4199 442  79
T 4  9 221 7  80
T 4  -2 221 39  81
T 4  -375 92378 770  82
T 4  -105 8398 130  83
T 4  -2 663 231  84
T 4  7 429 33  85
ROW -2 -4 21
T 0  -945 16 1  47
T 1  15 1 7  48
T 1  105 2 1  49
T 2  -435 1144 70  50
T 2  15 1144 10010  88
T 2  -90 13 7  51
T 2  -315 22 1  52
T 3  -861 4862 66  53
T 3  -189 4862 286  91
T 3  435 4862 70  55
T 3  -15 4862 10010  93
T 3  12 13 7  56
T 3  210 143 1  57
T 4  -18 4199 143  58
T 4  6 4199 24310  96
T 4  41 2431 66  60
T 4  9 2431 286  98
T 4  -435 92378 70  62
T 4  15 92378 10010  100
T 4  -8 221 7  63
T 4  -7 143 1  64
ROW -2 -3 31
T 0  -945 16 3  0
