FORMAT 2
KERNEL J
SOURCE (s|J|s)^(m)
SHELLS 6 5
ORDERS 6 11

# E <id> <alpha> <beta> <mu> <p>
T 2  75 4 7  21  8
T 2  -105 2 3  14  8
T 2  -405 4 2  15  8
T 3  -1035 1144 14  34  9
T 3  -435 1144 462  46  9
T 3  45 26 30  35  9
T 3  -225 26 7  48  9
T 3  315 22 3  36  9
T 3  45 2 2  37  9
T 4  2247 4862 10  70  10
T 4  525 4862 143  88  10
T 4  1035 4862 14  71  10
T 4  435 4862 462  90  10
T 4  -3 13 30  72  10
T 4  15 13 7  92  10
T 4  -210 143 3  73  10
T 4  -45 22 2  74  10
T 5  60 4199 33  125  11
T 5  -60 4199 286  151  11
T 5  -107 2431 10  127  11
T 5  -25 2431 143  153  11
T 5  -1035 92378 14  128  11
T 5  -435 92378 462  155  11
T 5  2 221 30  129  11
T 5  -10 221 7  157  11
T 5  7 143 3  130  11
T 5  9 143 2  131  11
ROW -3 -1 20
T 2  -15 4 30  16  8
T 2  -15 8 10  20  8
T 3  60 13 3  38  9
T 3  -45 572 66  44  9
T 3  45 26 30  39  9
T 3  45 52 10  45  9
T 4  -21 374 385  75  10
T 4  147 9724 1430  84  10
T 4  -240 221 3  76  10
T 4  45 2431 66  86  10
T 4  -3 13 30  77  10
T 4  -3 26 10  87  10
T 5  -3 4199 30030  132  11
T 5  -105 8398 286  145  11
T 5  1 187 385  134  11
T 5  -7 4862 1430  147  11
T 5  240 4199 3  135  11
T 5  -45 46189 66  149  11
T 5  2 221 30  136  11
T 5  1 221 10  150  11
ROW -3 0 15
T 1  -315 8 21  7  7
T 2  125 4 3  24  8
T 2  35 1 21  25  8
T 3  -1665 572 10  55  9
T 3  -375 26 3  56  9
T 3  -105 11 21  57  9
T 4  735 4862 11  105  10
